Country Name,"Country Code","Series Name","Series Code","2000 [YR2000]","2005 [YR2005]","2010 [YR2010]","2015 [YR2015]","2020 [YR2020]"
Argentina,"ARG","Population, total","SP.POP.TOTL","37213984","39216789","41288694","43477012","45191965"
Argentina,"ARG","GDP (current US$)","NY.GDP.MKTP.CD","284203750000","198737095012.282","423627422092.49","594749285413.212","385740508436.965"
Argentina,"ARG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","73.91","75.231","75.68","76.6","75.878"
Australia,"AUS","Population, total","SP.POP.TOTL","19028802","20176844","22031750","23815995","25649248"
Australia,"AUS","GDP (current US$)","NY.GDP.MKTP.CD","416167815092.908","695692898676.56","1148838233480.72","1351296372254.31","1328414058378.38"
Australia,"AUS","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","79.2341463414634","80.8414634146341","81.6951219512195","82.4","83.2"
Brazil,"BRA","Population, total","SP.POP.TOTL","174018282","184688101","193701929","201675532","208660842"
Brazil,"BRA","GDP (current US$)","NY.GDP.MKTP.CD","655448231983.527","891633839894.183","2208837745100.55","1802212206814.5","1476107231310.49"
Brazil,"BRA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","69.584","71.832","73.779","75.106","74.506"
China,"CHN","Population, total","SP.POP.TOTL","1262645000","1303720000","1337705000","1379860000","1411100000"
China,"CHN","GDP (current US$)","NY.GDP.MKTP.CD","1223754919971.05","2317551298052.05","6192564874453.29","11280814787468.9","14996414166715.1"
China,"CHN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","72.288","74.085","75.668","76.975","78.019"
France,"FRA","Population, total","SP.POP.TOTL","60918661","63180854","65026211","66548272","67601110"
France,"FRA","GDP (current US$)","NY.GDP.MKTP.CD","1360959069477.49","2192146403028.17","2646230027988.34","2442483452642.5","2647926055110.05"
France,"FRA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","79.0560975609756","80.1634146341463","81.6634146341463","82.3219512195122","82.1756097560976"
Germany,"DEU","Population, total","SP.POP.TOTL","82211508","82469422","81776930","81686611","83160871"
Germany,"DEU","GDP (current US$)","NY.GDP.MKTP.CD","1966980701145.1","2893393187361.87","3468154343000.01","3423568450957.03","3940142541354.1"
Germany,"DEU","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","77.9268292682927","78.9317073170732","79.9878048780488","80.6414634146341","81.0414634146342"
