Country Name,"Country Code","Series","Series Code","2000 [YR2000]","2005 [YR2005]","2010 [YR2010]","2015 [YR2015]","2020 [YR2020]"
Afghanistan,"AFG","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","3.47945","3.2558",".."
Afghanistan,"AFG","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Afghanistan,"AFG","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Albania,"ALB","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","3.43017","3.28155","..","3.43797",".."
Albania,"ALB","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Albania,"ALB","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Algeria,"DZA","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
Algeria,"DZA","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Algeria,"DZA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
American Samoa,"ASM","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
American Samoa,"ASM","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
American Samoa,"ASM","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Andorra,"AND","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","1.64497","2.97663","3.28035",".."
Andorra,"AND","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Andorra,"AND","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Angola,"AGO","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","2.60753","2.12011","3.42132","..",".."
Angola,"AGO","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Angola,"AGO","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Anguilla,"AIA","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
Anguilla,"AIA","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Anguilla,"AIA","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Antigua and Barbuda,"ATG","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
Antigua and Barbuda,"ATG","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","98.95",".."
Antigua and Barbuda,"ATG","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Arab World,"ARB","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
Arab World,"ARB","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","63.68453","69.2184","69.24863","73.49939",".."
Arab World,"ARB","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","80.18484","84.06601","81.68145","83.81765",".."
Argentina,"ARG","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","4.58031","3.86001","5.01971","5.77611",".."
Argentina,"ARG","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","98.95497","99.17996",".."
Argentina,"ARG","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","99.29864","99.5597",".."
Armenia,"ARM","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","2.77273","2.71203","3.249","2.80591",".."
Armenia,"ARM","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Armenia,"ARM","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Aruba,"ABW","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","4.71468","4.68132","6.92927","5.97571",".."
Aruba,"ABW","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","97.29125","..","96.82264","..",".."
Aruba,"ABW","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","99.02641","..","99.13841","..",".."
Australia,"AUS","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","4.89147","4.9103","5.55006","5.31127",".."
Australia,"AUS","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Australia,"AUS","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Austria,"AUT","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","5.58881","5.24937","5.70048","5.45658",".."
Austria,"AUT","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Austria,"AUT","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Azerbaijan,"AZE","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","3.85399","2.97462","2.78062","2.95168",".."
Azerbaijan,"AZE","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","99.77114","99.78806",".."
Azerbaijan,"AZE","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","99.9506","99.94278",".."
"Bahamas, The","BHS","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","2.23284","..","..","..",".."
"Bahamas, The","BHS","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
"Bahamas, The","BHS","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Bahrain,"BHR","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","2.66808",".."
Bahrain,"BHR","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","90.9774","..",".."
Bahrain,"BHR","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","95.45447","..",".."
Bangladesh,"BGD","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","2.12508","..","..","..",".."
Bangladesh,"BGD","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","65.13733",".."
Bangladesh,"BGD","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","87.88877",".."
Barbados,"BRB","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","4.71586","5.66965","6.0544","..",".."
Barbados,"BRB","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Barbados,"BRB","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Belarus,"BLR","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","6.19662","5.87103","5.22004","4.78752",".."
Belarus,"BLR","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Belarus,"BLR","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Belgium,"BEL","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","5.79586","6.44259","6.45157",".."
Belgium,"BEL","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Belgium,"BEL","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Belize,"BLZ","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","5.02843","..","6.71981","6.88889",".."
Belize,"BLZ","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","76.90298","..","..","..",".."
Belize,"BLZ","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","84.22305","..","..","..",".."
Benin,"BEN","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","2.11366","2.65668","3.67997","3.17298",".."
Benin,"BEN","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Benin,"BEN","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Bermuda,"BMU","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","1.98877","2.64421","1.6986",".."
Bermuda,"BMU","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","..",".."
Bermuda,"BMU","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","..",".."
Bhutan,"BTN","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","5.51379","7.28715","4.12473","7.5901",".."
Bhutan,"BTN","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","52.81469","..","..",".."
Bhutan,"BTN","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","74.40521","..","..",".."
Bolivia,"BOL","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
Bolivia,"BOL","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","..","..","..","92.45508",".."
Bolivia,"BOL","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","..","..","..","99.39917",".."
Bosnia and Herzegovina,"BIH","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","..","..","..",".."
Bosnia and Herzegovina,"BIH","Adult literacy rate, population 15+ years, both sexes (%)","SE.ADT.LITR.ZS","96.6631","..","..","..",".."
Bosnia and Herzegovina,"BIH","Youth literacy rate, population 15-24 years, both sexes (%)","SE.ADT.1524.LT.ZS","99.79393","..","..","..",".."
Botswana,"BWA","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","..","10.67859","..","..",".."
